TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xb70d40cfb5d0,TCPv6,::,445,::,0,LISTENING,4,System,2026-02-09 21:29:47.000000 UTC
0,0xb70d40cfb730,TCPv4,0.0.0.0,49667,0.0.0.0,0,LISTENING,1292,svchost.exe,2026-02-09 21:29:37.000000 UTC
0,0xb70d40cfb730,TCPv6,::,49667,::,0,LISTENING,1292,svchost.exe,2026-02-09 21:29:37.000000 UTC
0,0xb70d40cfbb50,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,2300,spoolsv.exe,2026-02-09 21:29:42.000000 UTC
0,0xb70d40cfca70,TCPv4,0.0.0.0,49668,0.0.0.0,0,LISTENING,2300,spoolsv.exe,2026-02-09 21:29:42.000000 UTC
0,0xb70d40cfca70,TCPv6,::,49668,::,0,LISTENING,2300,spoolsv.exe,2026-02-09 21:29:42.000000 UTC
0,0xb70d40cfce90,TCPv4,0.0.0.0,49669,0.0.0.0,0,LISTENING,624,services.exe,2026-02-09 21:29:47.000000 UTC
0,0xb70d414b29f0,TCPv4,0.0.0.0,7680,0.0.0.0,0,LISTENING,904,svchost.exe,2026-02-09 21:32:04.000000 UTC
0,0xb70d414b29f0,TCPv6,::,7680,::,0,LISTENING,904,svchost.exe,2026-02-09 21:32:04.000000 UTC

