TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xdb84c19cf960,UDPv6,::,0,*,0,,7484,M365Copilot.ex,2026-02-18 00:55:12.000000 UTC
0,0xdb84c19cfe10,UDPv4,0.0.0.0,0,*,0,,1424,VBoxService.ex,2026-02-18 00:42:49.000000 UTC
0,0xdb84c19d10d0,UDPv4,0.0.0.0,0,*,0,,2268,svchost.exe,2026-02-18 00:55:23.000000 UTC
0,0xdb84c19d10d0,UDPv6,::,0,*,0,,2268,svchost.exe,2026-02-18 00:55:23.000000 UTC
0,0xdb84c19f1380,UDPv4,0.0.0.0,500,*,0,,2436,svchost.exe,2026-02-17 16:28:56.000000 UTC
0,0xdb84c19f1380,UDPv6,::,500,*,0,,2436,svchost.exe,2026-02-17 16:28:56.000000 UTC
0,0xdb84c19f1830,UDPv4,0.0.0.0,58146,*,0,,2000,svchost.exe,2026-02-17 17:06:20.000000 UTC
0,0xdb84c19f1830,UDPv6,::,58146,*,0,,2000,svchost.exe,2026-02-17 17:06:20.000000 UTC
0,0xdb84c19f19c0,UDPv4,10.0.2.15,138,*,0,,4,System,2026-02-17 16:33:00.000000 UTC
0,0xdb84c19f1ce0,UDPv4,127.0.0.1,51982,*,0,,2916,svchost.exe,2026-02-17 16:28:57.000000 UTC
0,0xdb84c19f24b0,UDPv4,0.0.0.0,0,*,0,,2428,svchost.exe,2026-02-17 16:28:57.000000 UTC
0,0xdb84c19f2960,UDPv4,0.0.0.0,4500,*,0,,2436,svchost.exe,2026-02-17 16:28:56.000000 UTC
0,0xdb84c19f2af0,UDPv4,0.0.0.0,0,*,0,,992,powershell.exe,2026-02-17 16:31:08.000000 UTC
0,0xdb84c19f2c80,UDPv4,0.0.0.0,4500,*,0,,2436,svchost.exe,2026-02-17 16:28:56.000000 UTC
0,0xdb84c19f2c80,UDPv6,::,4500,*,0,,2436,svchost.exe,2026-02-17 16:28:56.000000 UTC
0,0xdb84c19f32c0,UDPv4,0.0.0.0,5355,*,0,,2000,svchost.exe,2026-02-17 16:33:04.000000 UTC
0,0xdb84c19f32c0,UDPv6,::,5355,*,0,,2000,svchost.exe,2026-02-17 16:33:04.000000 UTC
0,0xdb84c19f35e0,UDPv4,0.0.0.0,500,*,0,,2436,svchost.exe,2026-02-17 16:28:56.000000 UTC
0,0xdb84c19f3900,UDPv4,0.0.0.0,0,*,0,,2428,svchost.exe,2026-02-17 16:28:57.000000 UTC
0,0xdb84c19f3900,UDPv6,::,0,*,0,,2428,svchost.exe,2026-02-17 16:28:57.000000 UTC
0,0xdb84c19f3c20,UDPv4,0.0.0.0,5355,*,0,,2000,svchost.exe,2026-02-17 16:33:04.000000 UTC
0,0xdb84c19f3db0,UDPv4,0.0.0.0,0,*,0,,2436,svchost.exe,2026-02-17 16:28:56.000000 UTC
0,0xdb84c19f40d0,UDPv4,0.0.0.0,0,*,0,,2436,svchost.exe,2026-02-17 16:28:57.000000 UTC
0,0xdb84c19f40d0,UDPv6,::,0,*,0,,2436,svchost.exe,2026-02-17 16:28:57.000000 UTC
0,0xdb84c19f4260,UDPv4,0.0.0.0,0,*,0,,-,-,2026-02-17 16:29:39.000000 UTC
0,0xdb84c19f43f0,UDPv4,10.0.2.15,137,*,0,,4,System,2026-02-17 16:33:00.000000 UTC
0,0xdb84c19f4580,UDPv4,0.0.0.0,61735,*,0,,6168,msedgewebview2,2026-02-17 16:33:43.000000 UTC
0,0xdb84c19f4710,UDPv4,0.0.0.0,57933,*,0,,6168,msedgewebview2,2026-02-17 16:33:43.000000 UTC
0,0xdb84c19f48a0,UDPv4,0.0.0.0,5050,*,0,,4772,svchost.exe,2026-02-17 16:29:06.000000 UTC
0,0xdb84c19f4a30,UDPv4,0.0.0.0,0,*,0,,-,-,2026-02-17 16:29:39.000000 UTC
0,0xdb84c19f4a30,UDPv6,::,0,*,0,,-,-,2026-02-17 16:29:39.000000 UTC
