TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output,DiffStatus
0,2680,656,OfficeClickToR,0xba8eecc0a080,17,-,0.0,False,2026-04-08 18:52:03.000000 UTC,,Disabled,NEW (Attack Only)
0,6516,656,SgrmBroker.exe,0xba8eee0a2080,6,-,0.0,False,2026-04-08 18:54:12.000000 UTC,,Disabled,NEW (Attack Only)
0,6892,788,SystemSettings,0xba8eed65c080,1,-,1.0,False,2026-04-08 18:54:25.000000 UTC,,Disabled,NEW (Attack Only)
0,552,788,SecHealthUI.ex,0xba8eee32c080,21,-,1.0,False,2026-04-08 18:54:29.000000 UTC,,Disabled,NEW (Attack Only)
0,4168,788,ApplicationFra,0xba8eee7ec240,5,-,1.0,False,2026-04-08 18:54:29.000000 UTC,,Disabled,NEW (Attack Only)
0,6436,788,SystemSettings,0xba8eee46b080,19,-,1.0,False,2026-04-08 18:55:10.000000 UTC,,Disabled,NEW (Attack Only)
0,5844,4260,powershell.exe,0xba8eedd3e240,11,-,1.0,False,2026-04-08 18:55:14.000000 UTC,,Disabled,NEW (Attack Only)
0,8032,4728,CalculatorApp.,0xba8eee10a080,14,-,1.0,False,2026-04-08 18:55:20.000000 UTC,,Disabled,NEW (Attack Only)
0,1316,1696,powershell.exe,0xba8eeea05080,13,-,1.0,False,2026-04-09 02:18:41.000000 UTC,,Disabled,NEW (Attack Only)
0,9048,4728,CalculatorApp.,0xba8eeea74080,8,-,1.0,False,2026-04-09 02:21:46.000000 UTC,,Disabled,NEW (Attack Only)
0,8060,4016,mspaint.exe,0xba8eed6cc2c0,2,-,1.0,False,2026-04-09 02:34:48.000000 UTC,,Disabled,NEW (Attack Only)
0,7804,5844,powershell.exe,0xba8eecf42300,9,-,1.0,False,2026-04-09 02:39:16.000000 UTC,,Disabled,NEW (Attack Only)
0,6764,7804,powershell.exe,0xba8eef2020c0,9,-,1.0,False,2026-04-09 02:39:42.000000 UTC,,Disabled,NEW (Attack Only)
0,9124,788,WmiPrvSE.exe,0xba8ee8f20080,6,-,0.0,False,2026-04-09 02:46:13.000000 UTC,,Disabled,NEW (Attack Only)
0,5136,1316,powershell.exe,0xba8eeec892c0,15,-,1.0,False,2026-04-09 02:46:42.000000 UTC,,Disabled,NEW (Attack Only)
