Tactic,Technique,TechniqueName,HitCount
Execution,T1059.001,PowerShell,5
Defense Evasion,T1562.001,Disable or Modify Tools - AMSI Memory Patch,4
Defense Evasion,T1574.001,DLL Search Order Hijacking,3
Defense Evasion,T1562.001,Disable or Modify Tools - AMSI Bypass,1
