TreeDepth,PID,Process,Args,ImageFileName,MatchedPattern
0,8060,mspaint.exe,"""C:\\temp\\hijack\\mspaint.exe"" ",mspaint.exe,\temp\
0,5136,powershell.exe,"""C:\\Temp\\pshijack\\powershell.exe""",powershell.exe,\temp\
0,5136,powershell.exe,"""C:\\Temp\\pshijack\\powershell.exe""",powershell.exe,pshijack
0,8060,mspaint.exe,"""C:\\temp\\hijack\\mspaint.exe"" ",mspaint.exe,\hijack\
