PID,Process,DLL,LoadPath,HijackType,Technique,TechniqueName,Tactic,RiskScore,DLL_Indicator,Description
7764,powershell.exe,amsi.dll,C:\\Windows\\SYSTEM32\\amsi.dll,AMSI_BYPASS_MEMORY_PATCH,T1562.001,Disable or Modify Tools - AMSI Memory Patch,Defense Evasion,80,amsi.dll in 'powershell.exe' + 5 RWX region(s) = AMSI bypass,HIGH CONFIDENCE T1562.001: 'powershell.exe' (PID=7764) loads amsi.dll AND has 5 PAGE_EXECUTE_READWRITE region(s). Standard pattern for PowerShell AMSI bypass via memory patching.
992,powershell.exe,amsi.dll,C:\\Windows\\SYSTEM32\\amsi.dll,AMSI_BYPASS_MEMORY_PATCH,T1562.001,Disable or Modify Tools - AMSI Memory Patch,Defense Evasion,80,amsi.dll in 'powershell.exe' + 2 RWX region(s) = AMSI bypass,HIGH CONFIDENCE T1562.001: 'powershell.exe' (PID=992) loads amsi.dll AND has 2 PAGE_EXECUTE_READWRITE region(s). Standard pattern for PowerShell AMSI bypass via memory patching.
4708,explorer.exe,filesyncshell64.dll,C:\\Users\\lucif\\AppData\\Local\\Microsoft\\OneDrive\\26.012.0119.0002_1\\FileSyncShell64.dll,SUSPICIOUS_PATH,T1574.001,DLL Search Order Hijacking,Defense Evasion,40,DLL from staging path: C:\\Users\\lucif\\AppData\\Local\\Microsoft\\OneDrive\\26.012.0119.0002_1\\FileSyncShell64.dll,SUSPICIOUS: 'filesyncshell64.dll' from staging dir in 'explorer.exe' (PID=4708).
8368,msedge.exe,well_known_domains.dll,C:\\Users\\lucif\\AppData\\Local\\Microsoft\\Edge\\User Data\\Well Known Domains\\1.2.0.0\\well_known_domains.dll,SUSPICIOUS_PATH,T1574.001,DLL Search Order Hijacking,Defense Evasion,40,DLL from staging path: C:\\Users\\lucif\\AppData\\Local\\Microsoft\\Edge\\User Data\\Well Known Domains\\1.2.0.0\\well_known_domains.dll,SUSPICIOUS: 'well_known_domains.dll' from staging dir in 'msedge.exe' (PID=8368).
6064,UserOOBEBroker,filecoauthlib64.dll,C:\\Users\\lucif\\AppData\\Local\\Microsoft\\OneDrive\\26.012.0119.0002_1\\FileCoAuthLib64.dll,SUSPICIOUS_PATH,T1574.001,DLL Search Order Hijacking,Defense Evasion,40,DLL from staging path: C:\\Users\\lucif\\AppData\\Local\\Microsoft\\OneDrive\\26.012.0119.0002_1\\FileCoAuthLib64.dll,SUSPICIOUS: 'filecoauthlib64.dll' from staging dir in 'UserOOBEBroker' (PID=6064).
