TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xa78868e03d30,TCPv4,0.0.0.0,5040,0.0.0.0,0,LISTENING,5988,svchost.exe,2026-04-18 17:16:48.000000 UTC
0,0xa78868fb0010,TCPv4,10.0.2.15,49927,2.18.67.92,443,CLOSE_WAIT,4848,msedgewebview2,2026-04-18 17:41:17.000000 UTC
0,0xa7886908e360,TCPv4,10.0.2.15,49941,150.171.22.17,443,CLOSED,2332,MicrosoftEdgeU,2026-04-18 17:41:28.000000 UTC
0,0xa788690f41b0,TCPv4,0.0.0.0,49670,0.0.0.0,0,LISTENING,2668,svchost.exe,2026-04-18 17:16:29.000000 UTC
0,0xa788690f41b0,TCPv6,::,49670,::,0,LISTENING,2668,svchost.exe,2026-04-18 17:16:29.000000 UTC
0,0xa788690f57b0,TCPv4,0.0.0.0,49670,0.0.0.0,0,LISTENING,2668,svchost.exe,2026-04-18 17:16:29.000000 UTC
0,0xa788691ee9b0,TCPv4,10.0.2.15,49942,150.171.22.17,443,CLOSED,5584,MicrosoftEdgeU,2026-04-18 17:41:31.000000 UTC
0,0xa788692a8270,TCPv4,10.0.2.15,49912,52.96.181.98,443,ESTABLISHED,7264,SearchApp.exe,2026-04-18 17:35:13.000000 UTC
0,0xa7886975b900,TCPv4,10.0.2.15,49695,104.208.203.88,443,ESTABLISHED,2980,svchost.exe,2026-04-18 17:23:16.000000 UTC
0,0xa78869ecf550,TCPv4,10.0.2.15,49914,204.79.197.222,443,CLOSED,7264,SearchApp.exe,2026-04-18 17:35:15.000000 UTC
0,0xa7886a4a1e10,TCPv4,0.0.0.0,7680,0.0.0.0,0,LISTENING,1272,svchost.exe,2026-04-18 17:41:24.000000 UTC
0,0xa7886a4a1e10,TCPv6,::,7680,::,0,LISTENING,1272,svchost.exe,2026-04-18 17:41:24.000000 UTC
0,0xa7886a633a20,TCPv4,10.0.2.15,49936,23.209.57.176,443,CLOSED,1272,svchost.exe,2026-04-18 17:41:25.000000 UTC
0,0xa7886acb2b60,TCPv4,10.0.2.15,49920,150.171.28.12,443,CLOSED,5476,backgroundTask,2026-04-18 17:41:14.000000 UTC
0,0xa7886aeb9270,TCPv4,10.0.2.15,49913,23.11.33.159,80,CLOSE_WAIT,7264,SearchApp.exe,2026-04-18 17:35:13.000000 UTC
0,0xa7886aff8070,UDPv4,0.0.0.0,0,*,0,,1404,VBoxService.ex,2026-04-18 17:45:35.000000 UTC
0,0xa7886aff8200,UDPv4,127.0.0.1,1900,*,0,,4480,svchost.exe,2026-04-18 17:22:06.000000 UTC
0,0xa7886aff8390,UDPv4,0.0.0.0,123,*,0,,3212,svchost.exe,2026-04-18 17:22:06.000000 UTC
0,0xa7886aff8390,UDPv6,::,123,*,0,,3212,svchost.exe,2026-04-18 17:22:06.000000 UTC
0,0xa7886aff8520,UDPv4,0.0.0.0,5353,*,0,,996,svchost.exe,2026-04-18 17:22:06.000000 UTC
0,0xa7886aff8520,UDPv6,::,5353,*,0,,996,svchost.exe,2026-04-18 17:22:06.000000 UTC
0,0xa7886aff86b0,UDPv4,0.0.0.0,0,*,0,,1404,VBoxService.ex,2026-04-18 17:45:22.000000 UTC
0,0xa7886aff8840,UDPv4,10.0.2.15,138,*,0,,4,System,2026-04-18 17:22:06.000000 UTC
0,0xa7886aff89d0,UDPv4,0.0.0.0,0,*,0,,1404,VBoxService.ex,2026-04-18 17:42:35.000000 UTC
0,0xa7886aff8cf0,UDPv4,0.0.0.0,0,*,0,,996,svchost.exe,2026-04-18 17:22:06.000000 UTC
0,0xa7886aff8cf0,UDPv6,::,0,*,0,,996,svchost.exe,2026-04-18 17:22:06.000000 UTC
0,0xa7886aff8e80,UDPv4,0.0.0.0,0,*,0,,1404,VBoxService.ex,2026-04-18 17:44:05.000000 UTC
0,0xa7886aff9010,UDPv4,0.0.0.0,5353,*,0,,996,svchost.exe,2026-04-18 17:22:06.000000 UTC
0,0xa7886aff91a0,UDPv4,0.0.0.0,0,*,0,,1404,VBoxService.ex,2026-04-18 17:43:57.000000 UTC
0,0xa7886aff94c0,UDPv4,0.0.0.0,0,*,0,,1404,VBoxService.ex,2026-04-18 17:45:28.000000 UTC
0,0xa7886aff9650,UDPv4,0.0.0.0,0,*,0,,1404,VBoxService.ex,2026-04-18 17:44:12.000000 UTC
0,0xa7886aff9970,UDPv4,0.0.0.0,5355,*,0,,996,svchost.exe,2026-04-18 17:22:06.000000 UTC
0,0xa7886aff9b00,UDPv4,0.0.0.0,0,*,0,,1404,VBoxService.ex,2026-04-18 17:44:49.000000 UTC
0,0xa7886aff9e20,UDPv4,0.0.0.0,0,*,0,,1404,VBoxService.ex,2026-04-18 17:45:16.000000 UTC
0,0xa7886affa140,UDPv4,0.0.0.0,5355,*,0,,996,svchost.exe,2026-04-18 17:22:06.000000 UTC
0,0xa7886affa140,UDPv6,::,5355,*,0,,996,svchost.exe,2026-04-18 17:22:06.000000 UTC
0,0xa7886affa2d0,UDPv6,fe80::8fe6:a59c:39fa:a8ba,1900,*,0,,4480,svchost.exe,2026-04-18 17:22:06.000000 UTC
0,0xa7886affa460,UDPv4,0.0.0.0,0,*,0,,1404,VBoxService.ex,2026-04-18 17:44:54.000000 UTC
0,0xa7886affa5f0,UDPv4,10.0.2.15,137,*,0,,4,System,2026-04-18 17:22:06.000000 UTC
0,0xa7886affaaa0,UDPv6,::1,1900,*,0,,4480,svchost.exe,2026-04-18 17:22:06.000000 UTC
0,0xa7886affac30,UDPv4,10.0.2.15,1900,*,0,,4480,svchost.exe,2026-04-18 17:22:06.000000 UTC
0,0xa7886affadc0,UDPv4,0.0.0.0,0,*,0,,1404,VBoxService.ex,2026-04-18 17:44:43.000000 UTC
0,0xa7886affb0e0,UDPv4,0.0.0.0,123,*,0,,3212,svchost.exe,2026-04-18 17:22:06.000000 UTC
0,0xa7886b3cb050,TCPv4,10.0.2.15,49903,23.48.203.106,443,CLOSE_WAIT,7264,SearchApp.exe,2026-04-18 17:35:11.000000 UTC
0,0xa7886b806a20,TCPv4,10.0.2.15,49924,150.171.27.11,443,CLOSED,4848,msedgewebview2,2026-04-18 17:41:16.000000 UTC
0,0xa7886b8e5a20,TCPv4,10.0.2.15,49926,150.171.27.11,443,CLOSED,4848,msedgewebview2,2026-04-18 17:41:17.000000 UTC
0,0xa7886ba68a60,TCPv4,10.0.2.15,49939,208.89.75.161,80,CLOSED,1272,svchost.exe,2026-04-18 17:41:26.000000 UTC
0,0xa7886bceb010,TCPv4,10.0.2.15,49928,2.18.67.92,443,CLOSE_WAIT,4848,msedgewebview2,2026-04-18 17:41:17.000000 UTC
0,0xfc0000093360,TCPv4,10.0.2.15,49941,150.171.22.17,443,CLOSED,2332,MicrosoftEdgeU,2026-04-18 17:41:28.000000 UTC
0,0xfc0000112e10,TCPv4,0.0.0.0,7680,0.0.0.0,0,LISTENING,1272,svchost.exe,2026-04-18 17:41:24.000000 UTC
0,0xfc0000112e10,TCPv6,::,7680,::,0,LISTENING,1272,svchost.exe,2026-04-18 17:41:24.000000 UTC
0,0xfc000016b270,TCPv4,10.0.2.15,49913,23.11.33.159,80,CLOSE_WAIT,7264,SearchApp.exe,2026-04-18 17:35:13.000000 UTC

