TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created,ImageFileName,SuspiciousPort,PortMeaning
0,0xa78863074050,TCPv4,10.0.2.15,139,0.0.0.0,0,LISTENING,4,System,2026-04-18 17:22:06.000000 UTC,System,139,NetBIOS
0,0xa788641ba050,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,888,svchost.exe,2026-04-18 17:16:21.000000 UTC,svchost.exe,135,DCOM/RPC
0,0xa788641bacb0,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,888,svchost.exe,2026-04-18 17:16:21.000000 UTC,svchost.exe,135,DCOM/RPC
0,0xa788641bacb0,TCPv6,::,135,::,0,LISTENING,888,svchost.exe,2026-04-18 17:16:21.000000 UTC,svchost.exe,135,DCOM/RPC
