TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output,DiffStatus
0,2768,640,OfficeClickToR,0xa78868db3080,19,-,0.0,False,2026-04-18 17:16:24.000000 UTC,,Disabled,NEW (Attack Only)
0,7728,768,PhoneExperienc,0xa7886a2a0080,17,-,1.0,False,2026-04-18 17:17:12.000000 UTC,,Disabled,NEW (Attack Only)
0,6608,5956,m365copilot_au,0xa7886a3c4080,2,-,1.0,False,2026-04-18 17:17:16.000000 UTC,,Disabled,NEW (Attack Only)
0,6388,768,SystemSettings,0xa78868b92080,18,-,1.0,False,2026-04-18 17:17:30.000000 UTC,,Disabled,NEW (Attack Only)
0,8060,768,ApplicationFra,0xa7886a0ad2c0,3,-,1.0,False,2026-04-18 17:17:30.000000 UTC,,Disabled,NEW (Attack Only)
0,8044,5420,CalculatorApp.,0xa78869c71080,14,-,1.0,False,2026-04-18 17:17:42.000000 UTC,,Disabled,NEW (Attack Only)
0,4512,5956,powershell.exe,0xa788688bf080,10,-,1.0,False,2026-04-18 17:17:58.000000 UTC,,Disabled,NEW (Attack Only)
0,5224,640,SgrmBroker.exe,0xa788688ec340,6,-,0.0,False,2026-04-18 17:18:15.000000 UTC,,Disabled,NEW (Attack Only)
0,2476,768,WmiPrvSE.exe,0xa7886a036080,3,-,0.0,False,2026-04-18 17:18:51.000000 UTC,,Disabled,NEW (Attack Only)
0,2824,4512,powershell.exe,0xa788693e0080,9,-,1.0,False,2026-04-18 17:19:32.000000 UTC,,Disabled,NEW (Attack Only)
0,10128,5956,powershell.exe,0xa7886afa9080,13,-,1.0,False,2026-04-18 17:35:17.000000 UTC,,Disabled,NEW (Attack Only)
0,3448,10128,powershell.exe,0xa7886a9d7080,8,-,1.0,False,2026-04-18 17:36:02.000000 UTC,,Disabled,NEW (Attack Only)
0,3092,10128,powershell.exe,0xa78864ebb080,8,-,1.0,False,2026-04-18 17:37:34.000000 UTC,,Disabled,NEW (Attack Only)
0,260,10128,powershell.exe,0xa7886a207080,11,-,1.0,False,2026-04-18 17:40:06.000000 UTC,,Disabled,NEW (Attack Only)
0,9508,10128,powershell.exe,0xa78869851080,10,-,1.0,False,2026-04-18 17:40:14.000000 UTC,,Disabled,NEW (Attack Only)
0,1676,10128,powershell.exe,0xa788692b2080,8,-,1.0,False,2026-04-18 17:40:50.000000 UTC,,Disabled,NEW (Attack Only)
