TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output,DiffStatus
0,3908,624,NisSrv.exe,0xb70d418e2300,3,-,0.0,False,2026-02-09 21:30:27.000000 UTC,,Disabled,GONE (Baseline Only)
0,3400,2380,wuauclt.exe,0xb70d41ca5080,5,-,0.0,False,2026-02-09 21:34:07.000000 UTC,,Disabled,GONE (Baseline Only)
0,364,624,TrustedInstall,0xb70d40d4d280,5,-,0.0,False,2026-02-09 21:34:09.000000 UTC,,Disabled,GONE (Baseline Only)
0,820,768,TiWorker.exe,0xb70d412130c0,5,-,0.0,False,2026-02-09 21:34:10.000000 UTC,,Disabled,GONE (Baseline Only)
0,4324,4140,msedge.exe,0xb70d443c62c0,56,-,1.0,False,2026-02-09 21:36:12.000000 UTC,,Disabled,GONE (Baseline Only)
0,708,4324,msedge.exe,0xb70d464950c0,7,-,1.0,False,2026-02-09 21:36:20.000000 UTC,,Disabled,GONE (Baseline Only)
0,6428,4324,msedge.exe,0xb70d450f6080,18,-,1.0,False,2026-02-09 21:36:22.000000 UTC,,Disabled,GONE (Baseline Only)
0,2500,4324,msedge.exe,0xb70d45adc080,14,-,1.0,False,2026-02-09 21:36:22.000000 UTC,,Disabled,GONE (Baseline Only)
0,784,4324,msedge.exe,0xb70d43648080,10,-,1.0,False,2026-02-09 21:36:22.000000 UTC,,Disabled,GONE (Baseline Only)
0,8324,4324,msedge.exe,0xb70d463e70c0,17,-,1.0,False,2026-02-09 21:36:25.000000 UTC,,Disabled,GONE (Baseline Only)
0,8344,4324,msedge.exe,0xb70d459ec2c0,16,-,1.0,False,2026-02-09 21:36:25.000000 UTC,,Disabled,GONE (Baseline Only)
0,8580,4324,msedge.exe,0xb70d461f5080,15,-,1.0,False,2026-02-09 21:36:28.000000 UTC,,Disabled,GONE (Baseline Only)
0,9084,8592,M365Copilot.ex,0xb70d40ae7080,30,-,1.0,False,2026-02-09 21:36:47.000000 UTC,,Disabled,GONE (Baseline Only)
0,10072,768,FileCoAuth.exe,0xb70d464b1080,7,-,1.0,False,2026-02-09 21:37:25.000000 UTC,,Disabled,GONE (Baseline Only)
0,2480,4140,cmd.exe,0xb70d442c7300,1,-,1.0,False,2026-02-09 21:51:23.000000 UTC,,Disabled,GONE (Baseline Only)
0,7968,768,backgroundTask,0xb70d479f22c0,14,-,1.0,False,2026-02-09 22:05:25.000000 UTC,,Disabled,GONE (Baseline Only)
