TreeDepth,PID,Process,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,File output,Notes,Hexdump,Disasm
0,7888,powershell.exe,0x7df411440000,0x7df41144ffff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 78 0d 00 00 00 00 00 00 ........x.......
0c 00 00 00 49 c7 c2 00 00 00 00 48 b8 10 ec ec ....I......H....
58 ff 7f 00 00 ff e0 49 c7 c2 01 00 00 00 48 b8 X......I......H.
10 ec ec 58 ff 7f 00 00 ff e0 49 c7 c2 02 00 00 ...X......I.....","
0x7df411440000:	add	byte ptr [rax], al
0x7df411440002:	add	byte ptr [rax], al
0x7df411440004:	add	byte ptr [rax], al
0x7df411440006:	add	byte ptr [rax], al
0x7df411440008:	js	0x7df411440017
0x7df41144000a:	add	byte ptr [rax], al
0x7df41144000c:	add	byte ptr [rax], al
0x7df41144000e:	add	byte ptr [rax], al
0x7df411440010:	or	al, 0
0x7df411440012:	add	byte ptr [rax], al
0x7df411440014:	mov	r10, 0
0x7df41144001b:	movabs	rax, 0x7fff58ecec10
0x7df411440025:	jmp	rax
0x7df411440027:	mov	r10, 1
0x7df41144002e:	movabs	rax, 0x7fff58ecec10
0x7df411440038:	jmp	rax"
0,1736,PhoneExperienc,0x2b80000,0x2b8afff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 ................
ee dd ee dd 00 10 00 40 00 00 00 00 05 00 00 00 .......@........
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................","
0x2b80000:	add	byte ptr [rax], al
0x2b80002:	add	byte ptr [rcx], al
0x2b80004:	add	byte ptr [rax], al
0x2b80006:	add	byte ptr [rax], al
0x2b80008:	add	byte ptr [rax], al
0x2b8000a:	add	byte ptr [rax], al
0x2b8000c:	add	byte ptr [rax], al
0x2b8000e:	add	byte ptr [rax], al
0x2b80010:	out	dx, al
0x2b80011:	fucomp	st(6)
0x2b80013:	fld	qword ptr [rax]
0x2b80015:	adc	byte ptr [rax], al
0x2b80017:	add	byte ptr [rax], al
0x2b8001a:	add	byte ptr [rax], al
0x2b8001c:	add	eax, 0
0x2b80021:	add	byte ptr [rax], al
0x2b80023:	add	byte ptr [rax], al
0x2b80025:	add	byte ptr [rax], al
0x2b80027:	add	byte ptr [rax], al
0x2b80029:	add	byte ptr [rax], al
0x2b8002b:	add	byte ptr [rax], al
0x2b8002d:	add	byte ptr [rax], al
0x2b8002f:	add	byte ptr [rax], al
0x2b80031:	add	byte ptr [rax], al
0x2b80033:	add	byte ptr [rax], al
0x2b80035:	add	byte ptr [rax], al
0x2b80037:	add	byte ptr [rax], al
0x2b80039:	add	byte ptr [rax], al
0x2b8003b:	add	byte ptr [rax], al
0x2b8003d:	add	byte ptr [rax], al"
0,1736,PhoneExperienc,0x7fff19ac0000,0x7fff19acffff,Vad ,PAGE_EXECUTE_READWRITE,0,0,Disabled,N/A,"
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
60 92 aa 19 ff 7f 00 00 a8 91 aa 19 ff 7f 00 00 `...............
f8 91 aa 19 ff 7f 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 10 00 00 08 04 00 ................","
0x7fff19ac0000:	add	byte ptr [rax], al
0x7fff19ac0002:	add	byte ptr [rax], al
0x7fff19ac0004:	add	byte ptr [rax], al
0x7fff19ac0006:	add	byte ptr [rax], al
0x7fff19ac0008:	add	byte ptr [rax], al
0x7fff19ac000a:	add	byte ptr [rax], al
0x7fff19ac000c:	add	byte ptr [rax], al
0x7fff19ac000e:	add	byte ptr [rax], al"
0,1736,PhoneExperienc,0x7fff19480000,0x7fff1948ffff,Vad ,PAGE_EXECUTE_READWRITE,0,0,Disabled,N/A,"
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................","
0x7fff19480000:	add	byte ptr [rax], al
0x7fff19480002:	add	byte ptr [rax], al
0x7fff19480004:	add	byte ptr [rax], al
0x7fff19480006:	add	byte ptr [rax], al
0x7fff19480008:	add	byte ptr [rax], al
0x7fff1948000a:	add	byte ptr [rax], al
0x7fff1948000c:	add	byte ptr [rax], al
0x7fff1948000e:	add	byte ptr [rax], al
0x7fff19480010:	add	byte ptr [rax], al
0x7fff19480012:	add	byte ptr [rax], al
0x7fff19480014:	add	byte ptr [rax], al
0x7fff19480016:	add	byte ptr [rax], al
0x7fff19480018:	add	byte ptr [rax], al
0x7fff1948001a:	add	byte ptr [rax], al
0x7fff1948001c:	add	byte ptr [rax], al
0x7fff1948001e:	add	byte ptr [rax], al
0x7fff19480020:	add	byte ptr [rax], al
0x7fff19480022:	add	byte ptr [rax], al
0x7fff19480024:	add	byte ptr [rax], al
0x7fff19480026:	add	byte ptr [rax], al
0x7fff19480028:	add	byte ptr [rax], al
0x7fff1948002a:	add	byte ptr [rax], al
0x7fff1948002c:	add	byte ptr [rax], al
0x7fff1948002e:	add	byte ptr [rax], al
0x7fff19480030:	add	byte ptr [rax], al
0x7fff19480032:	add	byte ptr [rax], al
0x7fff19480034:	add	byte ptr [rax], al
0x7fff19480036:	add	byte ptr [rax], al
0x7fff19480038:	add	byte ptr [rax], al
0x7fff1948003a:	add	byte ptr [rax], al
0x7fff1948003c:	add	byte ptr [rax], al
0x7fff1948003e:	add	byte ptr [rax], al"
0,1736,PhoneExperienc,0x7fff19070000,0x7fff1907ffff,Vad ,PAGE_EXECUTE_READWRITE,0,0,Disabled,N/A,"
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................","
0x7fff19070000:	add	byte ptr [rax], al
0x7fff19070002:	add	byte ptr [rax], al
0x7fff19070004:	add	byte ptr [rax], al
0x7fff19070006:	add	byte ptr [rax], al
0x7fff19070008:	add	byte ptr [rax], al
0x7fff1907000a:	add	byte ptr [rax], al
0x7fff1907000c:	add	byte ptr [rax], al
0x7fff1907000e:	add	byte ptr [rax], al
0x7fff19070010:	add	byte ptr [rax], al
0x7fff19070012:	add	byte ptr [rax], al
0x7fff19070014:	add	byte ptr [rax], al
0x7fff19070016:	add	byte ptr [rax], al
0x7fff19070018:	add	byte ptr [rax], al
0x7fff1907001a:	add	byte ptr [rax], al
0x7fff1907001c:	add	byte ptr [rax], al
0x7fff1907001e:	add	byte ptr [rax], al
0x7fff19070020:	add	byte ptr [rax], al
0x7fff19070022:	add	byte ptr [rax], al
0x7fff19070024:	add	byte ptr [rax], al
0x7fff19070026:	add	byte ptr [rax], al
0x7fff19070028:	add	byte ptr [rax], al
0x7fff1907002a:	add	byte ptr [rax], al
0x7fff1907002c:	add	byte ptr [rax], al
0x7fff1907002e:	add	byte ptr [rax], al
0x7fff19070030:	add	byte ptr [rax], al
0x7fff19070032:	add	byte ptr [rax], al
0x7fff19070034:	add	byte ptr [rax], al
0x7fff19070036:	add	byte ptr [rax], al
0x7fff19070038:	add	byte ptr [rax], al
0x7fff1907003a:	add	byte ptr [rax], al
0x7fff1907003c:	add	byte ptr [rax], al
0x7fff1907003e:	add	byte ptr [rax], al"
0,1736,PhoneExperienc,0x7fff18a20000,0x7fff18a2ffff,Vad ,PAGE_EXECUTE_READWRITE,0,0,Disabled,N/A,"
10 00 0c 20 00 00 00 00 81 7f 02 00 00 00 14 00 ... ............
30 47 91 18 ff 7f 00 00 00 40 91 18 ff 7f 00 00 0G.......@......
80 01 a2 18 ff 7f 00 00 78 cf 9e 18 ff 7f 00 00 ........x.......
f0 00 a2 18 ff 7f 00 00 48 00 a2 18 ff 7f 00 00 ........H.......","
0x7fff18a20000:	adc	byte ptr [rax], al
0x7fff18a20002:	or	al, 0x20
0x7fff18a20004:	add	byte ptr [rax], al
0x7fff18a20006:	add	byte ptr [rax], al
0x7fff18a20008:	cmp	dword ptr [rdi + 2], 0x14000000
0x7fff18a2000f:	add	byte ptr [rax], dh
0x7fff18a20011:	xchg	r9d, eax
0x7fff18a20013:	sbb	bh, bh
0x7fff18a20015:	jg	0x7fff18a20017
0x7fff18a20017:	add	byte ptr [rax], al
0x7fff18a20019:	xchg	ecx, eax
0x7fff18a2001b:	sbb	bh, bh
0x7fff18a2001d:	jg	0x7fff18a2001f
0x7fff18a2001f:	add	byte ptr [rax - 0xe75dff], al
0x7fff18a20025:	jg	0x7fff18a20027
0x7fff18a20027:	add	byte ptr [rax - 0x31], bh
0x7fff18a2002a:	sahf	
0x7fff18a2002b:	sbb	bh, bh
0x7fff18a2002d:	jg	0x7fff18a2002f
0x7fff18a2002f:	add	al, dh
0x7fff18a20031:	add	byte ptr [rdx + 0x7fff18], ah
0x7fff18a20037:	add	byte ptr [rax], cl"
0,1736,PhoneExperienc,0x7fff189c0000,0x7fff189cffff,Vad ,PAGE_EXECUTE_READWRITE,0,0,Disabled,N/A,"
ff 25 fa 3f 00 00 4c 8b 15 fb 3f 00 00 ff 25 fd .%.?..L...?...%.
3f 00 00 90 66 66 66 66 ff 25 fa 3f 00 00 4c 8b ?...ffff.%.?..L.
15 fb 3f 00 00 ff 25 fd 3f 00 00 90 66 66 66 66 ..?...%.?...ffff
ff 25 fa 3f 00 00 4c 8b 15 fb 3f 00 00 ff 25 fd .%.?..L...?...%.","
0x7fff189c0000:	jmp	qword ptr [rip + 0x3ffa]
0x7fff189c0006:	mov	r10, qword ptr [rip + 0x3ffb]
0x7fff189c000d:	jmp	qword ptr [rip + 0x3ffd]
0x7fff189c0013:	nop	
0x7fff189c0014:	jmp	qword ptr [rip + 0x3ffa]
0x7fff189c001e:	mov	r10, qword ptr [rip + 0x3ffb]
0x7fff189c0025:	jmp	qword ptr [rip + 0x3ffd]
0x7fff189c002b:	nop	
0x7fff189c002c:	jmp	qword ptr [rip + 0x3ffa]
0x7fff189c0036:	mov	r10, qword ptr [rip + 0x3ffb]"
0,1736,PhoneExperienc,0x7fff18920000,0x7fff1892ffff,Vad ,PAGE_EXECUTE_READWRITE,0,0,Disabled,N/A,"
40 0c a5 18 ff 7f 00 00 40 0c a5 18 ff 7f 00 00 @.......@.......
60 0c a5 18 ff 7f 00 00 40 0c a5 18 ff 7f 00 00 `.......@.......
40 0c a5 18 ff 7f 00 00 40 0c a5 18 ff 7f 00 00 @.......@.......
80 0c a5 18 ff 7f 00 00 80 0c a5 18 ff 7f 00 00 ................","
0x7fff18920000:	or	al, 0xa5
0x7fff18920003:	sbb	bh, bh
0x7fff18920005:	jg	0x7fff18920007
0x7fff18920007:	add	byte ptr [rax + 0xc], al
0x7fff1892000a:	movsd	dword ptr [rdi], dword ptr [rsi]
0x7fff1892000b:	sbb	bh, bh
0x7fff1892000d:	jg	0x7fff1892000f
0x7fff1892000f:	add	byte ptr [rax + 0xc], ah
0x7fff18920012:	movsd	dword ptr [rdi], dword ptr [rsi]
0x7fff18920013:	sbb	bh, bh
0x7fff18920015:	jg	0x7fff18920017
0x7fff18920017:	add	byte ptr [rax + 0xc], al
0x7fff1892001a:	movsd	dword ptr [rdi], dword ptr [rsi]
0x7fff1892001b:	sbb	bh, bh
0x7fff1892001d:	jg	0x7fff1892001f
0x7fff1892001f:	add	byte ptr [rax + 0xc], al
0x7fff18920022:	movsd	dword ptr [rdi], dword ptr [rsi]
0x7fff18920023:	sbb	bh, bh
0x7fff18920025:	jg	0x7fff18920027
0x7fff18920027:	add	byte ptr [rax + 0xc], al
0x7fff1892002a:	movsd	dword ptr [rdi], dword ptr [rsi]
0x7fff1892002b:	sbb	bh, bh
0x7fff1892002d:	jg	0x7fff1892002f
0x7fff1892002f:	add	byte ptr [rax - 0xe75af4], al
0x7fff18920035:	jg	0x7fff18920037
0x7fff18920037:	add	byte ptr [rax - 0xe75af4], al
0x7fff1892003d:	jg	0x7fff1892003f"
0,1736,PhoneExperienc,0x7fff18900000,0x7fff1890ffff,Vad ,PAGE_EXECUTE_READWRITE,0,0,Disabled,N/A,"
c3 66 66 66 66 66 66 66 0f 1f 84 00 00 00 00 00 .fffffff........
48 89 11 4c 8b c1 48 b8 40 ea 00 94 40 00 00 00 H..L..H.@...@...
48 c1 e9 16 80 3c 01 00 75 04 f3 c3 66 90 49 b9 H....<..u...f.I.
00 00 40 82 00 00 00 00 49 3b d1 73 01 c3 49 b9 ..@.....I;.s..I.","
0x7fff18900000:	ret	
0x7fff18900001:	nop	word ptr [rax + rax]
0x7fff18900010:	mov	qword ptr [rcx], rdx
0x7fff18900013:	mov	r8, rcx
0x7fff18900016:	movabs	rax, 0x409400ea40
0x7fff18900020:	shr	rcx, 0x16
0x7fff18900024:	cmp	byte ptr [rcx + rax], 0
0x7fff18900028:	jne	0x7fff1890002e
0x7fff1890002a:	repz ret	
0x7fff1890002c:	nop	
0x7fff1890002e:	movabs	r9, 0x82400000
0x7fff18900038:	cmp	rdx, r9
0x7fff1890003b:	jae	0x7fff1890003e
0x7fff1890003d:	ret	"
0,1736,PhoneExperienc,0x7fff18910000,0x7fff1891ffff,Vad ,PAGE_EXECUTE_READWRITE,0,0,Disabled,N/A,"
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
78 34 9d 18 ff 7f 00 00 00 00 00 00 00 00 00 00 x4..............
00 34 9d 18 ff 7f 00 00 ff ff ff ff 00 00 00 00 .4..............
00 00 00 00 00 00 00 00 a1 00 10 00 00 00 40 00 ..............@.","
0x7fff18910000:	add	byte ptr [rax], al
0x7fff18910002:	add	byte ptr [rax], al
0x7fff18910004:	add	byte ptr [rax], al
0x7fff18910006:	add	byte ptr [rax], al
0x7fff18910008:	add	byte ptr [rax], al
0x7fff1891000a:	add	byte ptr [rax], al
0x7fff1891000c:	add	byte ptr [rax], al
0x7fff1891000e:	add	byte ptr [rax], al
0x7fff18910010:	js	0x7fff18910046
0x7fff18910012:	popfq	
0x7fff18910013:	sbb	bh, bh
0x7fff18910015:	jg	0x7fff18910017
0x7fff18910017:	add	byte ptr [rax], al
0x7fff18910019:	add	byte ptr [rax], al
0x7fff1891001b:	add	byte ptr [rax], al
0x7fff1891001d:	add	byte ptr [rax], al
0x7fff1891001f:	add	byte ptr [rax], al
0x7fff18910021:	xor	al, 0x9d
0x7fff18910023:	sbb	bh, bh
0x7fff18910025:	jg	0x7fff18910027
0x7fff18910027:	add	bh, bh"
