TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xa48280ae3010,TCPv4,10.0.2.5,49927,204.79.197.203,80,CLOSED,2640,svchost.exe,2026-03-11 13:29:35.000000 UTC
0,0xa48280b5aa20,TCPv4,-,0,-,0,CLOSED,1228,msedgewebview2,2026-03-11 13:32:01.000000 UTC
0,0xa482821ca050,TCPv4,10.0.2.5,49907,172.183.7.194,443,ESTABLISHED,2840,svchost.exe,2026-03-11 13:29:20.000000 UTC
0,0xa482821f54d0,TCPv4,10.0.2.5,49731,172.183.7.192,443,ESTABLISHED,2840,svchost.exe,2026-03-11 13:28:12.000000 UTC
0,0xa48287abcb30,TCPv4,-,0,-,0,CLOSED,1228,msedgewebview2,2026-03-11 13:32:26.000000 UTC
0,0xa48287d229e0,TCPv4,10.0.2.5,50029,23.52.99.66,443,ESTABLISHED,1228,msedgewebview2,2026-03-11 13:38:28.000000 UTC
0,0xa48287d26010,TCPv4,10.0.2.5,49998,13.89.179.9,443,CLOSED,2628,OfficeClickToR,2026-03-11 13:31:07.000000 UTC
0,0xa4828af96a20,TCPv4,10.0.2.5,50023,13.107.213.40,443,CLOSE_WAIT,9744,SystemSettings,2026-03-11 13:32:56.000000 UTC
0,0xa4828b8f3a20,TCPv4,10.0.2.5,50024,184.31.68.248,80,CLOSE_WAIT,9744,SystemSettings,2026-03-11 13:32:57.000000 UTC
0,0xa4828b8f5a20,TCPv4,10.0.2.5,50028,23.52.99.32,443,CLOSED,6016,explorer.exe,2026-03-11 13:35:21.000000 UTC
0,0xa4828c149a20,TCPv4,10.0.2.5,50022,192.168.0.24,7680,CLOSED,4584,svchost.exe,2026-03-11 13:32:56.000000 UTC
