TreeDepth,PID,Process,Args,MatchedPattern
0,7888,powershell.exe,"""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"" ",powershell
0,688,lsass.exe,C:\\Windows\\system32\\lsass.exe,lsass
